equipmentid_,type_,status_
1,Stirrer,repair
2,Filter,repair
3,Hose,retired
4,Tank,active
5,Conveyor,retired
6,Barrel,retired
7,Stirrer,active
8,Pump,repair
9,Crusher,repair
10,Washer,repair
11,Barrel,active
12,Filter,retired
13,Tank,active
14,Filter,active
15,Pump,repair
16,Hose,active
17,Tank,retired
18,Crusher,retired
19,Stirrer,retired
20,Hose,repair
21,Pump,repair
22,Tank,active
23,Hose,retired
24,Stirrer,repair
25,Pump,repair
26,Crusher,repair
27,Washer,retired
28,Conveyor,retired
29,Stirrer,repair
30,Barrel,retired
31,Crusher,retired
32,Barrel,repair
33,Crusher,repair
34,Fermenter,active
35,Filter,repair
36,Tank,repair
37,Filter,active
38,Filter,repair
39,Pump,active
40,Filter,repair
