processid_,type_,startdate_,enddate_,seqnumber,grapeid,employeeid,batchnumber_
1,1,2024-02-02,2024-02-04,1,3,39,228
2,2,2024-02-07,2024-02-09,2,9,16,228
3,3,2024-02-12,2024-02-14,3,1,22,228
4,4,2024-02-17,2024-02-20,4,1,41,228
5,1,2024-02-15,2024-02-18,1,8,46,289
6,2,2024-02-20,2024-02-23,2,3,12,289
7,3,2024-02-25,2024-02-28,3,2,10,289
8,4,2024-03-01,2024-03-03,4,1,39,289
9,1,2024-02-12,2024-02-13,1,10,38,202
10,2,2024-02-17,2024-02-19,2,2,18,202
11,3,2024-02-22,2024-02-25,3,7,3,202
12,4,2024-02-27,2024-03-01,4,9,23,202
13,1,2024-01-31,2024-02-02,1,8,1,226
14,2,2024-02-05,2024-02-07,2,7,17,226
15,3,2024-02-10,2024-02-13,3,7,17,226
16,4,2024-02-15,2024-02-17,4,3,33,226
17,1,2024-01-02,2024-01-03,1,8,24,399
18,2,2024-01-07,2024-01-09,2,7,1,399
19,3,2024-01-12,2024-01-14,3,1,13,399
20,4,2024-01-17,2024-01-19,4,8,14,399
21,1,2024-03-14,2024-03-17,1,5,16,68
22,2,2024-03-19,2024-03-22,2,8,37,68
23,3,2024-03-24,2024-03-25,3,8,34,68
24,4,2024-03-29,2024-03-30,4,5,3,68
25,1,2024-01-29,2024-01-31,1,1,20,15
26,2,2024-02-03,2024-02-04,2,1,6,15
27,3,2024-02-08,2024-02-09,3,2,33,15
28,4,2024-02-13,2024-02-16,4,6,28,15
29,1,2024-01-29,2024-01-31,1,8,44,221
30,2,2024-02-03,2024-02-04,2,7,3,221
31,3,2024-02-08,2024-02-09,3,10,45,221
32,4,2024-02-13,2024-02-15,4,4,10,221
33,1,2024-03-14,2024-03-17,1,10,6,50
34,2,2024-03-19,2024-03-22,2,7,7,50
35,3,2024-03-24,2024-03-25,3,10,38,50
36,4,2024-03-29,2024-03-30,4,9,42,50
37,1,2024-03-02,2024-03-05,1,7,10,206
38,2,2024-03-07,2024-03-10,2,5,9,206
39,3,2024-03-12,2024-03-14,3,10,18,206
40,4,2024-03-17,2024-03-18,4,9,49,206
41,1,2024-03-10,2024-03-11,1,2,49,146
42,2,2024-03-15,2024-03-16,2,3,44,146
