usageamount,processid_,materialid_
77,226,2
75,368,9
34,171,4
15,235,6
26,295,3
7,10,5
91,53,6
43,361,10
12,188,6
14,342,5
56,145,5
20,167,9
85,92,6
83,396,10
50,159,7
85,353,2
30,149,4
44,99,5
31,151,5
59,137,2
61,174,9
59,102,8
53,192,10
34,239,3
31,288,10
21,181,9
98,348,3
75,346,7
50,109,7
22,303,3
6,352,1
89,261,9
28,292,2
97,44,3
56,280,1
20,242,2
9,3,9
79,288,4
35,204,6
93,166,10
38,290,5
4,116,9
50,166,4
19,246,4
82,190,9
46,156,1
92,331,1
45,39,1
18,259,5
74,360,10
23,379,9
41,218,8
25,307,6
88,180,1
58,97,7
15,41,1
14,301,9
21,370,3
2,121,1
27,301,7
36,289,10
71,26,3
100,28,2
67,79,10
25,180,7
15,33,9
56,235,5
66,62,9
31,30,3
22,388,6
47,165,7
7,149,6
99,308,5
19,32,9
66,45,6
29,143,9
84,332,8
81,62,7
41,329,2
66,160,4
54,284,2
28,249,9
96,170,7
18,390,10
37,210,3
86,283,1
50,83,6
57,156,10
12,215,7
88,393,3
41,61,3
9,254,5
3,373,6
30,30,2
73,9,5
4,67,7
67,230,10
52,82,4
37,398,5
21,269,6
93,231,7
75,324,10
100,269,8
61,380,5
54,353,8
61,339,4
28,174,3
100,194,3
100,96,1
58,374,8
80,25,1
23,207,2
79,173,1
35,148,1
63,342,4
71,277,10
28,52,3
45,42,4
29,383,9
12,113,6
14,256,8
76,371,2
31,199,1
9,276,8
75,73,2
37,391,10
70,374,6
90,334,6
77,367,10
80,343,3
69,74,5
53,242,6
64,168,2
38,304,5
47,298,7
1,297,9
59,217,2
72,321,4
77,6,4
26,158,9
33,232,5
52,213,8
1,144,7
67,386,3
54,95,1
57,191,3
45,85,3
2,6,3
97,290,4
26,344,7
31,137,6
17,260,6
8,210,6
84,238,8
37,336,4
96,224,8
58,395,8
74,46,10
91,339,5
35,21,10
15,339,8
96,196,10
5,34,8
16,25,7
64,318,2
64,293,6
99,193,3
98,122,6
63,108,10
83,215,9
62,95,10
79,60,5
5,228,2
38,172,7
84,262,5
78,314,2
20,41,2
47,39,10
98,233,5
39,144,8
11,182,5
60,253,5
74,165,4
45,268,2
86,294,3
22,271,2
92,368,1
73,235,10
19,302,6
50,255,8
57,167,7
6,141,4
95,231,6
10,297,1
78,285,10
60,367,5
32,211,8
71,339,9
83,203,8
38,61,7
38,268,6
18,281,3
44,272,6
18,328,9
51,239,8
93,33,3
45,305,7
50,61,4
52,362,8
38,341,5
90,317,8
58,140,10
97,102,5
50,37,7
25,294,4
91,37,6
82,280,8
38,239,6
66,253,8
76,85,4
21,307,10
29,126,7
9,262,10
36,33,5
30,377,10
66,141,6
10,338,9
4,127,3
41,120,4
2,292,7
4,221,6
98,212,9
30,11,10
33,152,1
92,7,9
87,143,7
63,383,7
5,242,5
38,226,5
82,29,10
93,32,1
18,262,4
33,154,5
24,391,5
28,31,2
80,44,4
83,259,8
76,375,3
72,151,9
44,232,1
5,290,9
85,397,10
68,129,5
95,81,5
95,366,5
100,336,2
87,223,9
64,16,10
38,287,7
96,354,1
45,257,2
39,66,8
21,324,3
74,207,7
34,147,10
10,223,7
100,260,3
68,274,10
82,3,8
15,255,1
39,140,5
56,326,4
33,37,9
49,278,2
16,322,5
49,26,4
30,351,5
59,379,5
51,295,10
9,257,5
81,172,3
92,203,9
96,166,5
100,111,4
85,254,2
73,279,10
93,284,8
28,250,1
79,86,6
36,296,8
79,147,3
69,266,10
19,146,2
76,130,9
99,165,8
2,240,8
8,330,9
51,107,1
84,29,1
32,328,6
57,65,3
86,13,7
13,106,9
53,123,10
53,172,6
1,386,8
11,233,7
38,219,10
14,127,7
89,304,4
14,324,7
25,212,5
98,231,5
1,327,9
22,157,10
48,40,5
49,393,9
19,130,6
73,217,4
50,257,10
99,163,3
17,104,10
37,84,5
60,155,6
2,260,5
71,262,6
62,128,5
4,137,10
73,139,7
29,233,3
19,55,1
52,230,9
26,381,4
54,171,8
40,226,8
60,154,8
88,55,7
10,303,8
45,133,3
41,254,3
11,236,9
42,25,2
35,376,9
91,264,7
72,183,10
1,356,5
59,304,3
39,174,1
54,115,6
94,314,4
15,37,3
33,161,2
68,54,5
64,277,9
47,162,4
61,158,1
53,288,2
41,287,10
54,125,2
37,183,6
6,342,2
77,91,10
57,256,5
1,78,7
33,328,10
18,295,1
1,139,5
66,359,1
87,301,1
65,341,8
28,298,4
15,400,3
17,366,6
72,218,9
18,214,10
66,112,4
5,116,5
44,75,9
47,239,9
56,224,3
70,367,3
43,115,9
73,347,1
79,127,6
38,283,8
16,118,10
15,222,1
95,372,1
98,52,8
12,357,1
1,187,1
7,75,4
82,370,8
56,43,6
80,372,5
2,318,5
34,345,10
80,224,4
95,311,5
77,340,7
