equipmentid_,processid_
21,202
18,31
36,89
23,233
5,341
5,270
22,53
10,400
18,369
4,107
15,393
1,17
26,150
36,287
21,70
1,147
13,220
33,39
33,275
36,56
8,71
1,315
3,359
21,40
39,205
12,151
39,341
21,339
24,183
26,374
16,377
17,299
31,284
16,396
23,223
28,323
28,215
4,12
14,88
4,185
37,388
6,249
13,145
39,342
21,367
6,253
6,389
35,220
8,11
22,393
30,261
40,26
34,159
4,315
2,239
17,104
18,348
29,168
35,312
2,340
19,15
29,288
1,112
37,182
11,352
28,80
1,345
7,151
15,148
5,30
30,47
22,59
31,209
40,133
6,343
25,385
40,324
8,392
22,79
15,277
40,212
36,134
33,233
18,376
10,343
14,319
5,164
16,73
27,155
5,225
40,43
31,245
26,299
38,15
34,385
5,135
1,164
38,100
37,159
25,358
14,72
33,294
1,314
23,141
28,164
32,177
11,111
22,199
6,286
28,47
20,282
29,180
11,92
26,174
36,85
30,84
10,173
13,121
13,366
11,194
7,18
23,109
30,358
12,18
7,107
30,330
30,323
7,231
5,326
18,127
35,23
10,189
33,7
9,263
38,385
26,46
28,267
32,327
39,51
14,352
32,381
22,305
12,375
8,197
16,7
30,77
19,236
32,394
37,29
10,371
5,171
30,179
14,250
12,144
37,382
33,212
20,108
33,319
6,107
1,78
7,82
20,219
11,49
32,66
10,17
26,131
6,180
16,305
5,252
10,331
31,300
7,164
40,65
32,395
16,334
2,59
13,15
18,315
33,46
36,183
39,49
26,260
6,372
1,335
37,321
7,156
38,43
39,303
37,289
22,12
35,260
1,323
16,186
10,351
34,143
36,130
36,244
19,341
26,78
24,1
38,94
33,246
4,137
34,329
37,396
28,129
10,289
20,136
11,36
20,126
28,303
8,96
10,288
34,269
12,378
4,318
22,138
11,358
7,217
35,193
37,32
3,272
8,88
26,90
15,30
25,318
33,215
23,391
22,169
28,291
39,48
31,398
23,305
25,178
11,367
22,85
20,28
12,183
2,37
29,212
22,120
5,28
21,400
37,49
27,353
12,172
32,80
29,202
16,250
28,93
15,243
38,276
39,236
1,397
35,97
6,268
18,1
23,56
32,316
31,290
16,146
27,109
14,207
36,45
31,279
10,231
2,352
4,183
20,66
38,50
15,307
3,151
28,125
8,335
32,69
18,34
32,297
24,274
26,58
39,232
13,10
10,156
30,286
20,322
31,258
8,176
28,236
5,245
39,234
17,237
12,208
16,107
9,280
24,380
9,307
37,36
24,288
10,175
36,254
5,52
26,82
14,194
6,338
28,10
28,130
27,65
4,265
27,227
37,371
32,204
38,152
8,182
33,102
39,130
2,78
8,165
10,102
33,241
18,196
1,81
17,375
13,31
13,232
8,302
19,35
13,70
22,77
11,6
17,258
25,292
4,83
2,357
27,204
7,71
21,35
26,16
33,207
33,217
14,224
7,297
10,386
25,153
17,388
24,353
39,163
23,207
15,97
38,89
10,66
17,115
9,376
31,19
13,206
24,315
19,107
10,87
34,123
38,211
33,56
10,240
40,218
35,314
20,133
15,186
36,11
13,358
34,82
28,124
31,233
37,130
13,23
20,22
20,364
29,228
32,337
11,135
4,152
8,203
27,49
2,381
10,236
7,86
24,56
10,40
29,123
17,75
20,257
29,241
37,184
28,112
9,258
34,394
8,206
30,383
19,378
34,190
31,66
12,33
30,304
29,198
28,92
40,77
25,27
4,234
15,183
37,235
12,311
38,261
1,103
34,181
18,234
13,348
32,128
26,49
19,380
14,356
38,79
17,43
3,143
35,147
14,304
14,331
18,190
36,345
4,39
27,317
12,145
12,129
6,33
26,189
15,176
37,230
38,206
2,308
19,222
17,123
7,240
31,309
18,336
22,118
8,363
14,179
35,219
37,61
14,158
5,260
22,351
14,285
29,154
20,369
33,81
17,327
17,44
23,243
6,174
13,172
30,187
1,41
24,41
27,189
15,297
24,47
21,24
25,189
2,379
7,228
28,254
18,238
28,210
14,132
16,32
3,119
28,72
19,104
22,191
1,232
35,389
39,318
32,59
6,153
18,239
19,391
36,69
3,324
30,390
5,63
16,157
14,166
30,207
28,224
36,80
27,12
34,271
32,84
17,254
34,240
39,168
31,11
36,120
20,384
23,338
32,57
14,3
33,175
18,29
10,315
16,75
35,211
11,52
15,273
25,396
18,320
11,226
17,55
36,378
35,119
38,330
18,284
8,385
39,350
28,279
31,232
19,144
5,238
6,342
36,250
17,231
12,242
16,251
17,294
21,178
21,198
21,174
9,287
11,200
27,362
36,23
14,144
2,344
28,54
4,384
8,390
35,264
16,116
3,369
4,202
36,174
17,89
34,66
25,155
28,149
37,183
20,395
7,246
19,266
1,231
35,235
18,160
25,341
7,208
37,245
25,293
35,307
12,289
23,10
7,274
15,385
35,73
36,20
37,249
31,212
12,22
25,281
30,131
6,12
14,385
4,59
13,29
16,97
37,210
32,305
10,228
14,270
5,376
40,277
28,208
19,345
40,233
22,109
4,136
15,296
17,366
24,271
30,329
9,327
4,294
19,248
35,357
37,158
3,397
20,200
35,139
37,65
27,278
11,124
2,125
7,234
13,323
1,122
9,121
23,151
15,256
35,198
25,11
11,337
20,152
32,338
9,128
31,23
11,343
32,379
35,356
27,200
26,306
40,226
32,249
25,360
16,196
32,7
25,133
29,389
33,153
24,26
24,202
21,306
14,139
13,100
11,334
31,49
9,28
33,156
25,121
26,56
36,9
22,29
36,138
13,364
4,197
33,186
14,286
29,30
18,208
39,327
19,240
19,180
25,336
39,20
23,41
7,161
2,235
4,84
25,55
10,328
37,313
7,77
14,113
4,212
26,339
4,264
12,381
31,365
36,109
6,344
20,99
25,398
13,228
16,312
9,82
3,116
15,9
38,130
27,241
16,399
3,296
15,191
30,23
14,83
9,25
5,102
2,79
6,159
30,198
36,266
25,236
29,117
4,352
27,377
23,55
8,139
33,281
35,255
14,90
3,367
33,21
29,116
30,107
26,356
12,100
9,99
24,220
18,79
4,191
22,310
1,268
12,3
40,69
4,45
25,33
7,222
20,189
31,308
14,87
37,216
10,31
28,397
24,341
36,74
29,94
7,38
11,3
5,11
19,127
8,186
16,171
36,26
28,263
40,200
38,172
40,301
7,35
29,178
11,363
5,295
21,253
7,196
16,363
9,70
27,222
11,182
5,133
10,77
14,129
13,327
14,203
35,92
32,247
10,339
8,386
15,92
9,255
1,235
4,80
20,229
25,339
12,245
9,1
27,55
24,141
10,170
9,368
12,373
5,72
28,299
21,199
5,142
5,370
3,10
39,31
20,14
20,54
2,38
18,47
7,172
17,278
34,399
23,383
36,171
36,370
22,336
12,200
3,314
25,57
18,274
20,177
32,269
40,156
38,278
36,331
38,160
21,289
22,58
4,93
26,393
27,375
9,326
18,35
18,301
23,5
10,61
36,356
17,280
40,337
14,333
5,256
3,239
21,226
29,190
10,116
19,29
17,34
2,50
12,30
15,293
5,330
23,187
11,66
28,43
32,217
26,320
36,297
26,297
19,300
18,192
4,393
38,59
33,109
17,196
38,32
4,229
19,304
37,149
17,395
18,294
35,85
24,258
10,185
33,237
9,298
31,318
12,67
33,184
24,338
34,280
22,181
17,192
36,224
19,114
36,381
20,223
3,232
19,305
2,345
35,341
21,144
21,348
36,352
33,91
34,276
28,127
5,233
12,156
19,80
9,159
27,98
35,295
10,98
4,251
13,252
23,186
38,273
30,393
22,371
3,85
24,79
38,372
9,345
20,164
8,111
20,263
32,151
39,287
15,254
6,59
29,71
31,196
13,279
31,114
20,64
5,150
34,374
13,149
16,21
7,327
7,97
35,146
30,140
14,330
32,107
23,280
37,45
9,117
16,285
1,283
5,399
27,64
23,327
24,106
13,21
40,222
23,176
15,224
15,20
39,133
36,365
36,93
32,203
36,233
36,384
40,374
1,249
7,272
39,260
18,199
10,89
34,120
7,176
6,150
35,5
18,128
4,23
22,388
11,210
16,235
38,394
30,13
38,316
17,167
40,67
1,327
5,241
36,315
22,370
16,231
14,398
35,176
14,339
10,182
26,244
40,184
23,167
12,275
33,269
7,139
3,260
26,110
35,106
16,382
25,80
19,330
5,194
32,330
15,187
17,16
29,346
40,244
9,142
40,335
25,276
37,377
29,295
28,313
23,333
2,83
24,131
32,5
31,264
32,86
22,229
30,95
22,47
20,261
23,26
17,198
6,86
35,315
9,102
19,322
34,28
32,52
14,16
